Question,Answer
What is a coronavirus,Coronaviruses are a large family of viruses which may cause illness in animals or humans.
What kind of diseases are caused by corona virus,coronaviruses are known to cause respiratory infections ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS)
What is covid-19,COVID-19 is the infectious disease caused by the most recently discovered coronavirus
When does corona disease started,"Wuhan, China, in December 2019."
what are the symptoms of covid-19,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough"
What are other symptoms of corona,"Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea"
how does covid-19 spread,can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs
Can covid-19 spread through close contact,People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets
Can the virus that causes COVID-19 be transmitted through the air?,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air
Can CoVID-19 be caught from a person who has no symptoms?,The risk of catching COVID-19 from someone with no symptoms at all is very low
can corona spread from asymptotic patitnets,"It is therefore possible to catch COVID-19 from someone who has, for example, just a mild cough and does not feel ill"
Can I catch COVID-19 from the feces of someone with the disease?,The risk of catching COVID-19 from the feces of an infected person appears to be low
Who is doing research on this disease,WHO is assessing ongoing research on the ways COVID-19 is spread and will continue to share new findings
What can I do to protect myself and prevent the spread of disease ?,Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water.
What are more ways to protect myself,Maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing.
Suggest more ways to protect myself,"Avoid touching eyes, nose and mouth."
How to cover my mouth,"Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze"
When should I stay at home,"Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention"
whe should I avoid travel,"avoid traveling to places especially if you are an older person or have diabetes, heart or lung disease."
Protection measures for persons who are in or have recently visited (past 14 days) areas where COVID-19 is spreading,Self-isolate by staying at home if you begin to feel unwell
Whe should I seek medical advice,"If you develop fever, cough and difficulty breathing, seek medical advice promptly"
How likely am I to catch covid-19,"The risk depends on where you  are - and more specifically, whether there is a COVID-19 outbreak unfolding there"
Who is at high risk of developing covid-19,"there are now places around the world (cities or areas) where the disease is spreading. For people living in, or visiting, these areas the risk of catching COVID-19 is higher"
Should I worry about covid-19,"Illness due to COVID-19 infection is generally mild, especially for children and young adults"
I am worried about covid-19,"quite normal for people to worry about how the COVID-19 outbreak will affect them and their loved ones.
We can channel our concerns into actions to protect ourselves, our loved ones and our communities"
Who is at risk of developing severe illness,"persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes) "
Are antibiotics effective in preventing or treating the covid-19,No
Why antibiotics are not effective in preventing corona virus,No. Antibiotics do not work against viruses
Why antibiotics are not effective in preventing covid-19,"No. Antibiotics do not work against viruses, they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work"
Are there any medicines or therapies that can prevent or cure covid-19,there is no evidence that current medicine can prevent or cure the disease
"Is there a vaccine, drug or treatment for covid-19",Not yet
Is covid-19 the same as sars,No
Should I wear a mask to protect myself,Only wear a mask if you are ill with COVID-19 symptoms
When should I wear a mask to protect myself,wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19
"How to put on, use, take off and dispose of a mask","Before touching the mask, clean hands with an alcohol-based hand rub or soap and water"
How long in incubation period for covid-19,1-14 days
How long in incubation period for corona, Most estimates of the incubation period for COVID-19 range from 1-14 days
Can humans become infected with the COVID-19 from an animal source?,Occasionally
Can I catch covid-19 from my pet,"While there has been one instance of a dog being infected in Hong Kong, to date, there is no evidence that a dog, cat or any pet can transmit COVID-19. COVID-19 is mainly spread through droplets produced when an infected person coughs, sneezes, or speaks. To protect yourself, clean your hands frequently and thoroughly."
How long does the virus survive on surfaces,few hours or up to several days
Is it safe to receive a package from any area where COVID-19 has been reported?,Yes
Is it safe to receive a package from any area where COVID-19 has been reported?,Yes
Is it possible to be infected with the new coronavirus in Switzerland?,"Yes, and the risk of becoming infected with coronavirus in Switzerland is increasing."
How is the new coronavirus transmitted?,"By close and prolonged contact: If you’re closer than two metres to a person who has con-tracted the illness.

By droplet infection: If one person sneezes or coughs, the virus can be transported directly to the mucous membranes in the nose, mouth or eyes of other people.

Via your hands: Infectious droplets can get onto your hands from coughing and sneezing. Or you come into contact with a surface contaminated with the virus They can then get into your system if you touch your mouth, nose or eyes."
Why is it important to follow rules on hygiene and how to behave around others?,"We are dealing with a new virus against which humans have not yet developed immunity. That is why so many people are being infected and developing the disease, and why the spread of the new coronavirus must be delayed as far as possible.

In particular those at high risk of becoming seriously ill must be protected. These include people over the age of 65, and those with underlying health conditions (high blood pressure, diabetes, cardiovascular diseases, chronic respiratory diseases, cancer) and those with diseases or receiving treatments that weaken the immune system.

If we follow all of the rules (see «Protect yourself and others»), we can reduce the risk of exposing these people to the infection. That way we can also ensure that our health system is able to continue to provide good treatment to those who are seriously ill. This is important because intensive care units only have a limited number of beds and ventilators."
How long is the period between infection and the appearance of symptoms? And when do people become contagious?,"The new coronavirus has an incubation period – i.e. the time between infection and the appearance of the first symptoms – of around five days. However, this period can last up to 14 days.

Anyone contracting the new coronavirus is infectious for a long time. Namely:

A day before symptoms appear, so before you even notice that you’ve contracted the disease;.
While you are experiencing symptoms of the illness. That is when you are most infectious.
Until at least 48 hours after you have recovered."
