ID,Customer Age (in months),"Churn (1 = Yes, 0 = No)",CHI Score Month 0,CHI Score 0-1,Support Cases Month 0,Support Cases 0-1,SP Month 0,SP 0-1,Logins 0-1,Blog Articles 0-1,Views 0-1, Days Since Last Login 0-1,Group_14-67,Group_2-6,Group_6-14
6158,2,0,21,21,0,0,0.0,0.0,0,1,0,0,0,1,0
6127,2,1,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
6125,2,0,41,41,0,0,0.0,0.0,0,1,0,0,0,1,0
6107,2,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
6106,2,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
6103,2,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
6034,2,0,41,41,0,0,0.0,0.0,0,1,0,0,0,1,0
6016,2,0,60,60,0,0,0.0,0.0,0,1,0,0,0,1,0
5765,2,1,53,53,0,0,0.0,0.0,276,2,0,0,0,1,0
5587,2,1,57,57,1,1,3.0,3.0,56,2,0,0,0,1,0
5560,2,1,73,73,4,4,3.0,3.0,68,2,0,0,0,1,0
5873,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5872,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5871,3,0,21,21,0,0,0.0,0.0,4,1,0,0,0,1,0
5866,3,0,31,31,0,0,0.0,0.0,6,1,0,0,0,1,0
5861,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5860,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5859,3,0,21,21,0,0,0.0,0.0,2,1,0,0,0,1,0
5858,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5855,3,0,21,21,0,0,0.0,0.0,2,1,0,0,0,1,0
5853,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5851,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5850,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5849,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5846,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5844,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5842,3,0,22,22,0,0,0.0,0.0,2,2,0,0,0,1,0
5840,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5836,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5828,3,0,0,0,0,0,0.0,0.0,18,0,0,0,0,1,0
5827,3,0,21,21,0,0,0.0,0.0,2,1,0,0,0,1,0
