age,CHI_Month_0,CHI_0_1,Support_Cases_0,Support_Cases_0_1,SP_0,SP_0_1,Logins,Blog,Views,LastLogin,churn
67,0,0,0,0,0,0,0,0,0,31,0
67,62,4,0,0,0,0,0,0,16,31,0
55,0,0,0,0,0,0,0,0,0,31,0
63,231,1,1,1,3,0,167,8,"21,996.00",0,0
57,43,1,0,0,0,0,0,0,9,31,0
58,138,10,0,0,0,0,43,0,33,0,0
57,180,5,1,1,3,3,13,1,907,0,0
46,116,11,0,0,0,0,0,0,38,6,0
56,78,7,1,2,3,0,9,1,0,7,0
56,78,37,0,0,0,0,7,0,30,14,0
53,91,1,0,0,0,0,14,3,0,0,0
56,40,14,0,0,0,0,0,0,15,31,0
57,215,15,0,0,0,0,71,9,"8,658.00",0,0
57,0,0,0,0,0,0,0,0,0,31,0
55,118,63,0,0,0,0,5,1,995,0,0
56,59,16,0,0,0,0,0,0,4,31,0
52,67,25,0,0,0,0,4,0,77,31,0
55,0,0,0,0,0,0,0,0,2,31,0
54,258,4,1,0,3,0,34,6,149,0,0
54,89,12,1,1,3,3,41,8,29,0,0
54,0,0,0,0,0,0,0,0,0,31,0
54,142,1,0,0,0,0,26,1,4,13,0
53,86,10,0,0,0,0,2,0,53,31,0
53,100,5,0,1,0,3,0,0,8,2,0
53,103,12,0,0,0,0,6,1,40,1,0
46,75,0,0,0,0,0,0,0,10,30,0
53,182,8,8,6,3,0.5,38,1,671,0,0
53,230,0,0,0,0,0,84,3,"13,043.00",0,0
52,179,22,2,1,3,0,10,2,5,1,0
53,48,10,0,0,0,0,15,0,12,18,0
52,99,6,0,0,0,0,8,0,23,31,0
32,67,28,0,0,0,0,0,0,0,31,0
52,160,10,3,3,3,3,12,0,481,4,0
52,91,50,4,1,3,0,26,0,0,11,0
52,105,1,0,0,0,0,14,1,0,0,0
52,93,29,0,0,0,0,7,1,"4,682.00",0,0
51,143,32,4,1,2.5,0.2,61,1,67,0,0
50,108,40,1,1,3,3,43,0,16,0,0
52,168,5,8,3,3,0,62,2,589,31,0
52,186,4,2,1,2.5,0.5,86,3,"2,139.00",4,0
52,75,0,0,0,0,0,8,0,0,0,0
51,25,0,0,0,0,0,0,0,0,31,0
49,124,34,0,0,0,0,10,0,188,31,0
43,147,7,1,1,3,3,25,2,138,1,0
51,134,1,3,2,3,0,10,0,0,0,0
51,77,1,0,0,0,0,1,0,81,6,0
48,57,2,0,0,0,0,0,0,"2,379.00",31,0
50,115,0,0,0,0,0,0,0,300,31,0
44,51,1,1,1,3,0,12,0,0,133,0
49,85,0,0,0,0,0,1,0,0,12,0
49,1,0,0,0,0,0,0,0,0,31,0
45,87,3,1,1,3,3,9,0,0,143,0
49,210,2,2,3,2.5,0.5,181,3,724,0,0
47,122,2,3,6,3,0,31,0,122,0,1
48,3,0,0,0,0,0,0,0,0,30,0
49,179,14,1,1,3,3,54,1,124,1,0
49,0,21,0,0,0,0,8,0,0,4,0
35,152,0,0,0,0,0,13,0,82,0,0
46,0,0,0,0,0,0,0,0,0,31,0
47,0,26,0,0,0,0,7,0,0,53,1
47,7,7,0,0,0,0,4,0,0,31,0
48,14,14,0,0,0,0,4,0,5,31,0
47,53,27,0,0,0,0,4,0,41,4,0
48,39,52,0,0,0,0,1,0,33,5,0
48,103,4,0,3,0,3,14,0,9,0,0
13,122,31,6,4,3,0,94,4,1,9,1
48,109,50,0,1,0,2,2,1,221,13,0
43,0,0,1,1,2,2,0,0,0,31,0
46,10,10,0,0,0,0,10,0,0,31,0
47,145,10,0,0,0,0,38,0,"5,083.00",0,0
48,108,33,0,0,0,0,6,0,993,31,0
45,45,0,0,0,0,0,7,0,13,3,0
47,193,0,0,0,0,0,47,1,83,1,0
47,101,39,0,0,0,0,24,1,2,2,0
47,17,10,0,0,0,0,4,0,2,10,0
45,1,70,0,0,0,0,7,1,0,3,0
46,158,2,0,1,0,3,5,4,12,3,0
38,198,15,0,0,0,0,21,0,172,0,0
38,77,2,0,0,0,0,3,0,716,1,0
47,82,0,0,0,0,0,11,0,0,3,0
46,94,10,1,1,3,3,42,0,63,24,0
28,152,4,0,0,0,0,19,0,9,2,0
46,125,15,1,1,3,3,11,0,100,3,0
47,35,0,0,0,0,0,0,0,0,9,0
43,166,1,0,0,0,0,10,1,"1,304.00",1,0
46,61,11,1,1,3,3,10,0,35,15,0
42,97,2,0,1,0,3,28,0,0,0,0
46,74,0,0,0,0,0,1,0,0,3,0
46,4,4,1,1,2,2,10,0,0,31,0
46,145,0,0,0,0,0,98,0,629,0,0
45,75,17,0,0,0,0,1,1,0,3,0
46,79,13,0,0,0,0,4,0,4,22,0
46,175,10,0,0,0,0,22,0,"1,419.00",0,0
44,0,12,0,0,0,0,1,0,0,90,1
46,6,6,0,0,0,0,10,0,0,31,0
46,85,36,0,0,0,0,2,1,37,4,0
45,59,41,0,0,0,0,0,0,57,31,0
46,109,13,0,0,0,0,1,2,158,9,0
44,87,45,0,0,0,0,10,1,4,30,0
45,161,10,0,0,0,0,10,4,71,0,0
41,0,0,0,0,0,0,0,0,5,31,0
45,169,8,9,5,3,0,54,0,345,0,0
44,88,22,0,1,0,3,30,0,5,2,0
28,0,0,0,0,0,0,0,0,0,31,0
42,26,13,0,0,0,0,0,0,16,5,1
38,0,0,0,0,0,0,0,0,0,30,0
45,155,6,0,0,0,0,1,4,127,0,0
45,71,11,0,0,0,0,15,1,0,0,0
40,0,125,0,0,0,0,8,0,216,6,0
44,0,6,0,0,0,0,10,0,0,72,0
29,103,8,0,0,0,0,3,3,15,70,0
45,39,23,0,0,0,0,2,0,0,31,0
43,42,10,0,0,0,0,6,0,6,30,0
45,73,6,0,0,0,0,6,0,1,24,0
45,58,38,0,0,0,0,6,0,20,5,0
45,68,7,1,1,0,0,22,0,7,31,0
45,89,5,0,2,0,3,61,0,"1,013.00",0,0
45,138,4,0,0,0,0,8,0,534,29,0
42,0,0,0,0,0,0,0,0,0,31,0
45,90,0,0,0,0,0,7,0,73,0,0
45,0,0,0,0,0,0,0,0,0,31,0
43,48,11,0,0,0,0,3,0,0,3,0
44,10,25,0,1,0,2,4,0,5,18,0
44,106,0,0,0,0,0,7,0,30,4,0
44,128,35,0,3,0,3,7,1,0,15,0
45,90,5,0,0,0,0,21,0,39,2,0
45,47,21,0,0,0,0,12,0,0,3,0
41,31,26,0,0,0,0,0,0,32,31,0
45,191,1,0,0,0,0,12,1,28,0,0
45,45,10,0,0,0,0,9,0,0,2,0
45,121,90,1,1,3,3,184,4,17,7,0
44,76,32,0,0,0,0,18,0,2,31,0
44,50,25,0,0,0,0,4,0,100,187,0
43,101,84,0,0,0,0,6,1,38,30,0
44,74,38,0,0,0,0,0,2,243,0,0
44,105,5,0,0,0,0,1,0,669,18,0
44,0,0,0,0,0,0,0,0,0,31,0
41,60,0,0,0,0,0,0,0,0,30,0
44,55,73,2,1,3,0,39,3,45,1,0
43,91,50,0,3,0,3,18,2,"2,034.00",4,0
45,19,1,0,0,0,0,11,0,0,3,0
43,15,27,0,0,0,0,2,0,0,11,0
44,59,0,0,0,0,0,14,1,0,0,0
43,70,6,0,0,0,0,4,3,0,1,0
44,180,2,0,0,0,0,36,5,"1,698.00",0,0
42,0,2,0,0,0,0,0,0,0,30,0
43,38,11,0,0,0,0,0,0,6,0,0
42,116,1,0,0,0,0,12,0,61,31,0
44,95,15,0,0,0,0,11,0,6,10,0
44,181,2,0,0,0,0,20,1,"1,544.00",0,0
43,90,10,0,0,0,0,16,0,0,0,0
40,120,2,1,1,2,2,35,0,35,3,0
38,116,1,1,0,3,0,41,1,0,26,1
43,0,0,0,0,0,0,0,0,3,31,0
43,193,15,3,1,3,0.5,9,1,"7,657.00",0,0
