,treatment,pageviews,calls,reservations,business_id,business_type,chain,independent,treatment_chain
0,0,643,44,39,1,chain,1,0,0
1,0,621,41,44,2,chain,1,0,0
2,0,581,40,38,3,chain,1,0,0
3,0,592,35,31,4,chain,1,0,0
4,0,648,45,46,5,chain,1,0,0
5,0,519,37,41,6,chain,1,0,0
6,0,583,47,42,7,chain,1,0,0
7,0,659,37,42,8,chain,1,0,0
8,0,507,40,30,9,chain,1,0,0
9,0,577,41,35,10,chain,1,0,0
10,0,552,48,41,11,chain,1,0,0
11,0,591,42,37,12,chain,1,0,0
12,0,545,34,41,13,chain,1,0,0
13,0,601,36,45,14,chain,1,0,0
14,0,556,38,33,15,chain,1,0,0
15,0,598,41,36,16,chain,1,0,0
16,0,563,43,38,17,chain,1,0,0
17,0,539,36,42,18,chain,1,0,0
18,0,636,40,44,19,chain,1,0,0
19,0,629,46,38,20,chain,1,0,0
20,0,646,39,39,21,chain,1,0,0
21,0,655,39,44,22,chain,1,0,0
22,0,649,49,41,23,chain,1,0,0
23,0,649,41,40,24,chain,1,0,0
24,0,510,42,44,25,chain,1,0,0
25,0,564,36,37,26,chain,1,0,0
26,0,620,35,38,27,chain,1,0,0
27,0,579,32,35,28,chain,1,0,0
28,0,701,42,44,29,chain,1,0,0
29,0,577,37,34,30,chain,1,0,0
30,0,566,38,38,31,chain,1,0,0
31,0,580,36,44,32,chain,1,0,0
32,0,570,37,40,33,chain,1,0,0
33,0,596,40,39,34,chain,1,0,0
34,0,730,35,43,35,chain,1,0,0
35,0,562,44,41,36,chain,1,0,0
36,0,603,35,39,37,chain,1,0,0
37,0,724,52,50,38,chain,1,0,0
38,0,622,45,33,39,chain,1,0,0
39,0,501,41,42,40,chain,1,0,0
40,0,580,31,38,41,chain,1,0,0
41,0,594,35,37,42,chain,1,0,0
42,0,641,41,45,43,chain,1,0,0
43,0,650,42,34,44,chain,1,0,0
44,0,564,41,32,45,chain,1,0,0
45,0,655,41,39,46,chain,1,0,0
46,0,535,41,39,47,chain,1,0,0
47,0,519,35,43,48,chain,1,0,0
48,0,673,46,42,49,chain,1,0,0
49,0,565,40,41,50,chain,1,0,0
50,0,619,33,32,51,chain,1,0,0
51,0,610,44,39,52,chain,1,0,0
52,0,684,44,48,53,chain,1,0,0
53,0,608,38,44,54,chain,1,0,0
54,0,679,47,41,55,chain,1,0,0
55,0,597,43,43,56,chain,1,0,0
56,0,500,34,20,57,chain,1,0,0
57,0,669,40,46,58,chain,1,0,0
58,0,584,40,41,59,chain,1,0,0
59,0,568,44,33,60,chain,1,0,0
60,0,535,41,45,61,chain,1,0,0
61,0,616,42,46,62,chain,1,0,0
62,0,605,36,43,63,chain,1,0,0
63,0,518,41,40,64,chain,1,0,0
64,0,614,37,36,65,chain,1,0,0
65,0,650,38,42,66,chain,1,0,0
66,0,555,39,29,67,chain,1,0,0
67,0,559,41,35,68,chain,1,0,0
68,0,647,50,38,69,chain,1,0,0
69,0,633,40,49,70,chain,1,0,0
70,0,597,40,39,71,chain,1,0,0
