"Name","work.exp","native.language","Gender"
"Scooby1",3,"Hindi","Female"
"WarlockAlpha",5.5,"Hindi","Male"
"Hermione",4.8,"English","Female"
"Gambit",4.7,"Hindi","Male"
"Oswald",6.5,"Telugu","Female"
"Karla",4,"Tamil","Male"
"MiloMinderbinder",4,"Marathi","Male"
"minion1",5.1,"oriya","Male"
"Bond420",4.8,"Hindi","Male"
"Ussopp",3,"Telugu","Male"
"Mogli1",3,"Hindi","Male"
"Mr J",5,"Hindi","Male"
"Apu",3.8,"Tamil","Female"
"scooby doo1",6.5,"Punjabi","Female"
"AB",2.5,"Hindi","Male"
"Captain  Spark",5,"Bengali","Male"
"LOL",3,"Hindi","Male"
"Pelican",4,"Hindi","Male"
"Donald Duck",2.5,"Bengali","Female"
"Blossom1",2.8,"Hindi","Female"
"Elon",3,"Hindi","Male"
"plainvaingirl",3,"Kannada","Female"
"Babyitter",5,"Hindi","Male"
"Thor",6,"Telugu","Male"
"ultraoptic",3,"Hindi","Male"
"Kai",2,"Hindi","Female"
"Genie",3.3,"Hindi","Female"
"Crimemaster Go-Go",10,"Hindi","Female"
"The Rock",4,"Hindi","Male"
"Yoda",4.5,"Hindi","Male"
"megamind",4,"Gujarati","Male"
"Batman's sidekick",5,"oriya","Male"
"The Joker",5,"Bengali","Male"
"TinTin",3,"Telugu","Male"
"avi1",2.75,"Hindi","Male"
"Norah",4.8,"Hindi","Female"
"Batwoman",4,"Hindi","Female"
"The Patriot",14,"Hindi","Male"
"WhiteWalker",4,"Telugu","Male"
"Marty Mcfly",6,"Hindi","Male"
"Maverick",6,"Hindi","Male"
"KSV",4.4,"Telugu","Female"
"Sheldon",3,"Kashmiri","Male"
"Wonderlust",3,"Telugu","Female"
"Boxer",6,"Hindi","Male"
"Avi",5,"Hindi","Male"
"Cloud",2.75,"Hindi","Female"
"Scooby Doo",4,"Gujarati","Male"
"Raptor",3,"Hindi","Male"
"Nanu",3.4,"Hindi","Female"
"Kabali",3,"Telugu","Male"
"Wonderwoman",3,"Hindi","Female"
"Crap Bag",4,"oriya","Male"
"Severus Snape",6.5,"oriya","Male"
"Kilwish",3,"Hindi","Male"
"Roronoa",4,"Telugu","Male"
"Russell",3.8,"Hindi","Female"
"Jerry",4,"Hindi","Female"
"Obelix",5,"Bengali","Male"
"highway_star",5,"Hindi","Male"
"Dragon Warrior",6,"Hindi","Male"
"Baauji",6,"Hindi","Male"
"Azam",4,"Hindi","Male"
"PK",5,"Hindi","Male"
"jason bourne",4,"bhojpuri","Male"
"pixie",2.5,"Marathi","Female"
"baldr",4.5,"Hindi","Male"
"Calvin1",3.4,"Telugu","Female"
"Aryaa",2.7,"Telugu","Female"
"KR",3,"Hindi","Female"
"Kay Jain",3,"Hindi","Male"
"John Snow",3,"Marathi","Male"
